epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43.633,0.68947,0.82746,1.09921,0.96618,0.5,0.51515,0.37513,1.39262,1.85495,1.69696,0.0011684,0.0011684,0.0011684
44,44.6433,0.59042,0.71496,1.12291,0.96803,0.5,0.52315,0.45439,1.2038,1.77601,1.54775,0.0011486,0.0011486,0.0011486
45,45.5828,0.5975,0.81198,1.0993,0.96803,0.5,0.52315,0.45439,1.2038,1.77601,1.54775,0.0011288,0.0011288,0.0011288
46,46.5153,0.55757,0.75853,1.03996,0.96329,0.5,0.56461,0.49143,1.10913,1.7296,1.53341,0.001109,0.001109,0.001109
47,47.4629,0.54705,0.74521,1.06697,0.9635,0.5,0.6463,0.4664,1.35358,1.81835,1.73643,0.0010892,0.0010892,0.0010892
48,48.4174,0.71266,0.73566,1.14758,0.96907,0.5,0.6461,0.46629,1.32801,1.66351,1.70378,0.0010694,0.0010694,0.0010694
49,49.3864,0.57341,0.69292,1.04065,0.96907,0.5,0.6461,0.46629,1.32801,1.66351,1.70378,0.0010496,0.0010496,0.0010496
50,50.3609,0.61614,0.78586,1.08635,0.64318,0.75,0.68365,0.53398,1.04929,1.86504,1.3936,0.0010298,0.0010298,0.0010298
51,51.3384,0.52974,0.68521,1.07342,0.74824,0.74471,0.6926,0.59052,0.93973,1.81669,1.29476,0.00101,0.00101,0.00101
52,52.3536,0.63639,0.80965,1.14584,0.74778,0.75,0.68336,0.57722,0.9499,1.8063,1.33499,0.0009902,0.0009902,0.0009902
53,53.2881,0.52561,0.65637,1.06635,0.74778,0.75,0.68336,0.57722,0.9499,1.8063,1.33499,0.0009704,0.0009704,0.0009704
54,54.2554,0.56315,0.66274,1.06859,0.73886,0.75,0.62113,0.50283,1.11818,1.70495,1.61749,0.0009506,0.0009506,0.0009506
55,55.3765,0.5882,0.72785,1.10686,0.7267,0.75,0.68357,0.52159,1.16808,1.52335,1.8149,0.0009308,0.0009308,0.0009308
56,56.3387,0.64385,0.68643,1.13386,0.72553,0.75,0.68359,0.52165,1.09924,1.58743,1.74427,0.000911,0.000911,0.000911
57,57.2688,0.50226,0.69659,1.05048,0.72553,0.75,0.68359,0.52165,1.09924,1.58743,1.74427,0.0008912,0.0008912,0.0008912
58,58.2653,0.50853,0.62528,1.05744,0.73647,0.75,0.68363,0.52758,0.92797,1.48471,1.64382,0.0008714,0.0008714,0.0008714
59,59.2703,0.50515,0.60056,1.05912,0.72944,0.75,0.68362,0.50948,0.91364,1.60093,1.45789,0.0008516,0.0008516,0.0008516
60,60.1678,0.58149,0.67923,1.16317,0.73777,0.75,0.68366,0.55879,0.99585,1.39043,1.40902,0.0008318,0.0008318,0.0008318
61,61.0904,0.4528,0.60516,1.01127,0.73777,0.75,0.68366,0.55879,0.99585,1.39043,1.40902,0.000812,0.000812,0.000812
62,62.0519,0.48753,0.64081,1.03086,0.73731,0.75,0.68366,0.55896,0.96686,1.45105,1.38661,0.0007922,0.0007922,0.0007922
63,63.0444,0.52403,0.59916,1.03345,0.73542,0.75,0.68371,0.57751,0.92546,1.44708,1.3211,0.0007724,0.0007724,0.0007724
64,63.9758,0.43108,0.56478,0.98476,0.56575,0.98014,0.82536,0.62532,0.89379,1.15024,1.2682,0.0007526,0.0007526,0.0007526
65,64.9253,0.49895,0.57889,1.06079,0.56575,0.98014,0.82536,0.62532,0.89379,1.15024,1.2682,0.0007328,0.0007328,0.0007328
66,65.9328,0.47905,0.6302,1.04414,0.66028,0.97604,0.84917,0.64585,0.88441,1.04757,1.24561,0.000713,0.000713,0.000713
67,66.8463,0.54319,0.60504,1.07337,1,0.7443,0.88786,0.70275,0.92397,0.95675,1.25834,0.0006932,0.0006932,0.0006932
68,67.7759,0.50473,0.61742,1.03463,1,0.73757,0.91167,0.74974,0.91052,1.07571,1.23895,0.0006734,0.0006734,0.0006734
69,68.6734,0.55263,0.58334,1.10743,1,0.73757,0.91167,0.74974,0.91052,1.07571,1.23895,0.0006536,0.0006536,0.0006536
