epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1166.96,1.13284,0.78267,1.27534,0.79261,0.77826,0.85276,0.50041,1.44122,0.8879,1.58914,0.0011882,0.0011882,0.0011882
43,1193.31,1.17848,0.78775,1.28571,0.83161,0.77391,0.83742,0.47309,1.50596,0.93935,1.62908,0.0011684,0.0011684,0.0011684
44,1219.9,1.11985,0.76134,1.25504,0.86981,0.74783,0.84775,0.49278,1.44886,0.90715,1.59497,0.0011486,0.0011486,0.0011486
45,1246.36,1.11712,0.76181,1.26979,0.81184,0.73913,0.82859,0.47094,1.4964,0.91257,1.64084,0.0011288,0.0011288,0.0011288
46,1273,1.09898,0.75618,1.25771,0.78492,0.7913,0.8458,0.48785,1.46365,0.90331,1.61054,0.001109,0.001109,0.001109
47,1299.7,1.09333,0.73857,1.24288,0.81206,0.73043,0.82638,0.45651,1.54169,0.9644,1.70088,0.0010892,0.0010892,0.0010892
48,1326.29,1.08987,0.7344,1.24758,0.77434,0.83478,0.84574,0.49681,1.44346,0.88036,1.62416,0.0010694,0.0010694,0.0010694
49,1352.91,1.05839,0.71743,1.23402,0.74272,0.79074,0.80323,0.44716,1.55957,0.9625,1.71135,0.0010496,0.0010496,0.0010496
50,1379.98,1.06324,0.71589,1.23674,0.82936,0.73913,0.81401,0.48001,1.49006,0.95874,1.64776,0.0010298,0.0010298,0.0010298
51,1406.62,1.04869,0.71735,1.22488,0.77374,0.78261,0.83364,0.4959,1.42661,0.91164,1.60316,0.00101,0.00101,0.00101
52,1433.23,1.05376,0.73604,1.21945,0.85744,0.78451,0.85304,0.51728,1.41349,0.85326,1.58739,0.0009902,0.0009902,0.0009902
53,1460.15,1.02227,0.68944,1.20374,0.80489,0.80711,0.83332,0.49679,1.42918,0.91287,1.59316,0.0009704,0.0009704,0.0009704
54,1486.94,1.03558,0.69672,1.21069,0.81721,0.7581,0.8411,0.49345,1.4488,0.88597,1.64353,0.0009506,0.0009506,0.0009506
55,1513.55,1.00748,0.67841,1.19942,0.87389,0.75322,0.85198,0.51307,1.40777,0.86433,1.58524,0.0009308,0.0009308,0.0009308
56,1540.51,0.99044,0.66859,1.18095,0.85428,0.74348,0.84447,0.52068,1.36777,0.82296,1.54734,0.000911,0.000911,0.000911
57,1567.17,0.9989,0.69151,1.18816,0.83006,0.76957,0.84874,0.49456,1.41683,0.85712,1.62172,0.0008912,0.0008912,0.0008912
58,1594.18,0.98345,0.66707,1.17549,0.84173,0.78696,0.85001,0.50954,1.43236,0.85997,1.61043,0.0008714,0.0008714,0.0008714
59,1621.66,0.95531,0.63581,1.16825,0.87774,0.74918,0.85351,0.51788,1.38058,0.84826,1.58223,0.0008516,0.0008516,0.0008516
60,1649.42,0.95878,0.64113,1.17006,0.8412,0.75652,0.83438,0.50157,1.42218,0.92249,1.60518,0.0008318,0.0008318,0.0008318
61,1677.16,0.93655,0.62574,1.1577,0.80708,0.78212,0.84844,0.50754,1.37452,0.86545,1.59564,0.000812,0.000812,0.000812
