epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1395.52,0.48521,0.31952,0.97677,0.97313,0.93645,0.9681,0.83924,0.57854,0.38397,1.01144,0.0011882,0.0011882,0.0011882
43,1428.19,0.4834,0.31148,0.97674,0.96822,0.94828,0.97767,0.85416,0.5669,0.36364,1.01067,0.0011684,0.0011684,0.0011684
44,1460.72,0.48871,0.31375,0.97613,0.96055,0.94467,0.97927,0.86619,0.53801,0.36635,0.97023,0.0011486,0.0011486,0.0011486
45,1493.49,0.462,0.30757,0.96495,0.95587,0.95259,0.9781,0.8648,0.55374,0.35344,0.9853,0.0011288,0.0011288,0.0011288
46,1525.9,0.46818,0.30144,0.96946,0.98004,0.93103,0.96884,0.84637,0.57812,0.38256,1.00628,0.001109,0.001109,0.001109
47,1558.33,0.46018,0.3011,0.96947,0.97354,0.9514,0.97084,0.8562,0.56275,0.36119,0.99378,0.0010892,0.0010892,0.0010892
48,1590.73,0.47314,0.30807,0.968,0.9562,0.95259,0.97041,0.8539,0.56833,0.35939,0.99248,0.0010694,0.0010694,0.0010694
49,1623.31,0.46315,0.29846,0.96159,0.97537,0.93966,0.9611,0.84971,0.55122,0.35246,0.9868,0.0010496,0.0010496,0.0010496
50,1656.1,0.44721,0.28954,0.95559,0.96881,0.93721,0.97129,0.86229,0.54654,0.34688,0.97748,0.0010298,0.0010298,0.0010298
51,1689.99,0.45042,0.28993,0.95833,0.95638,0.94397,0.96945,0.86493,0.54522,0.35386,0.98017,0.00101,0.00101,0.00101
52,1725.83,0.43989,0.28534,0.95836,0.94927,0.95259,0.97382,0.86244,0.53804,0.33911,0.97503,0.0009902,0.0009902,0.0009902
53,1758.56,0.43888,0.29181,0.95117,0.96068,0.94786,0.97534,0.85894,0.54478,0.35505,0.98786,0.0009704,0.0009704,0.0009704
54,1791.2,0.44479,0.29342,0.9566,0.97296,0.93966,0.97166,0.86769,0.52074,0.34594,0.96771,0.0009506,0.0009506,0.0009506
55,1824.61,0.4344,0.28004,0.95332,0.9757,0.93534,0.97346,0.86585,0.54048,0.35826,0.97814,0.0009308,0.0009308,0.0009308
56,1856.56,0.44064,0.28686,0.95484,0.98638,0.93679,0.96972,0.86089,0.53308,0.32849,0.97524,0.000911,0.000911,0.000911
57,1888.52,0.42803,0.27374,0.94861,0.95665,0.95111,0.96798,0.85389,0.53337,0.3646,0.9799,0.0008912,0.0008912,0.0008912
58,1919.96,0.42394,0.27131,0.9477,0.97719,0.92347,0.9753,0.86351,0.5444,0.36423,0.99223,0.0008714,0.0008714,0.0008714
59,1951.37,0.41697,0.27376,0.93976,0.97736,0.93049,0.96915,0.86524,0.52992,0.377,0.97631,0.0008516,0.0008516,0.0008516
60,1982.86,0.42494,0.27367,0.95011,0.97742,0.93272,0.96932,0.86683,0.52914,0.34914,0.98032,0.0008318,0.0008318,0.0008318
61,2014.28,0.41758,0.26543,0.94299,0.95588,0.93534,0.96679,0.85495,0.55057,0.384,0.98832,0.000812,0.000812,0.000812
62,2045.92,0.41041,0.26375,0.9401,0.97554,0.94397,0.97191,0.87343,0.54253,0.38136,0.98274,0.0007922,0.0007922,0.0007922
63,2078.13,0.40662,0.267,0.93922,0.96761,0.93966,0.96866,0.86483,0.52928,0.35146,0.97756,0.0007724,0.0007724,0.0007724
64,2109.87,0.40768,0.26479,0.9399,0.97822,0.94397,0.97091,0.86793,0.53698,0.34126,0.97829,0.0007526,0.0007526,0.0007526
65,2142.42,0.405,0.26202,0.93825,0.96632,0.94828,0.97315,0.87845,0.52949,0.34095,0.97149,0.0007328,0.0007328,0.0007328
66,2174.62,0.4046,0.26602,0.93521,0.96507,0.95284,0.96839,0.86486,0.54766,0.35703,0.98658,0.000713,0.000713,0.000713
67,2206.73,0.40115,0.25535,0.93066,0.97636,0.94397,0.96819,0.8703,0.5371,0.33854,0.97787,0.0006932,0.0006932,0.0006932
68,2239.16,0.3929,0.25563,0.93,0.95356,0.94828,0.97063,0.86548,0.53368,0.34367,0.98369,0.0006734,0.0006734,0.0006734
69,2271.57,0.39421,0.25556,0.93274,0.97296,0.95259,0.97175,0.85812,0.55123,0.34483,0.98989,0.0006536,0.0006536,0.0006536
70,2303.71,0.38421,0.24881,0.9299,0.95288,0.95892,0.97046,0.85556,0.5437,0.34084,0.98479,0.0006338,0.0006338,0.0006338
71,2335.29,0.38264,0.24889,0.92922,0.9757,0.94828,0.97132,0.86355,0.53794,0.33823,0.98171,0.000614,0.000614,0.000614
72,2367.19,0.37556,0.24195,0.92785,0.97024,0.94828,0.97017,0.86781,0.51615,0.33393,0.96465,0.0005942,0.0005942,0.0005942
73,2399.94,0.377,0.24413,0.92591,0.9682,0.95259,0.97332,0.86918,0.53704,0.34149,0.97704,0.0005744,0.0005744,0.0005744
74,2432.85,0.36989,0.24179,0.92716,0.96595,0.95259,0.97304,0.86527,0.52449,0.34358,0.97422,0.0005546,0.0005546,0.0005546
75,2465.65,0.37656,0.24389,0.92641,0.97592,0.94397,0.97233,0.86903,0.53148,0.34715,0.97404,0.0005348,0.0005348,0.0005348
76,2498.96,0.36527,0.23438,0.9227,0.97992,0.93534,0.97488,0.87091,0.52686,0.33365,0.97755,0.000515,0.000515,0.000515
77,2532.17,0.36746,0.24243,0.92706,0.97422,0.92672,0.97031,0.86102,0.51623,0.35459,0.96788,0.0004952,0.0004952,0.0004952
78,2565.25,0.36467,0.23736,0.91466,0.97268,0.94397,0.97246,0.87399,0.52278,0.35153,0.97588,0.0004754,0.0004754,0.0004754
79,2596.81,0.35836,0.23129,0.91789,0.98204,0.94261,0.97299,0.87124,0.54863,0.36301,0.98786,0.0004556,0.0004556,0.0004556
80,2628.47,0.35232,0.23263,0.91884,0.96913,0.94731,0.97037,0.86514,0.54036,0.36587,0.99182,0.0004358,0.0004358,0.0004358
81,2659.93,0.35083,0.23166,0.92023,0.97752,0.94397,0.97279,0.87028,0.52397,0.3375,0.98664,0.000416,0.000416,0.000416
82,2691.54,0.34929,0.22839,0.91403,0.97763,0.94185,0.97204,0.86756,0.53499,0.35827,0.99005,0.0003962,0.0003962,0.0003962
83,2723.91,0.35261,0.23476,0.91965,0.96149,0.94397,0.97152,0.87202,0.52876,0.36174,0.99475,0.0003764,0.0003764,0.0003764
84,2756.95,0.33882,0.22649,0.91147,0.9691,0.94643,0.97265,0.87616,0.53163,0.34643,0.98703,0.0003566,0.0003566,0.0003566
85,2791.38,0.34273,0.23055,0.91405,0.96071,0.94861,0.97134,0.87171,0.51915,0.3484,0.98219,0.0003368,0.0003368,0.0003368
86,2825.74,0.33897,0.22506,0.91306,0.96075,0.94945,0.97054,0.87726,0.51696,0.34612,0.97679,0.000317,0.000317,0.000317
87,2860.31,0.33376,0.22221,0.91384,0.97749,0.93571,0.97122,0.87738,0.51783,0.35592,0.98911,0.0002972,0.0002972,0.0002972
88,2894.43,0.33791,0.22372,0.91885,0.95914,0.95259,0.96931,0.86822,0.52572,0.37519,0.99278,0.0002774,0.0002774,0.0002774
89,2927.27,0.33277,0.21927,0.91372,0.96925,0.95095,0.97226,0.87908,0.52376,0.35841,0.98913,0.0002576,0.0002576,0.0002576
90,2960.15,0.32872,0.21785,0.91186,0.96315,0.95259,0.97193,0.87754,0.50919,0.35507,0.98305,0.0002378,0.0002378,0.0002378
91,2992.35,0.26463,0.1846,0.85163,0.97517,0.93534,0.96711,0.86511,0.51042,0.34468,0.98407,0.000218,0.000218,0.000218
92,3023.81,0.24736,0.16662,0.84268,0.98639,0.93703,0.96834,0.86868,0.52556,0.34763,1,0.0001982,0.0001982,0.0001982
93,3055.01,0.24294,0.16104,0.84165,0.9863,0.93078,0.97217,0.88122,0.51144,0.34512,0.98415,0.0001784,0.0001784,0.0001784
94,3086.46,0.237,0.15693,0.83833,0.96087,0.95256,0.97182,0.87796,0.51192,0.33818,0.98249,0.0001586,0.0001586,0.0001586
95,3117.95,0.23568,0.15857,0.84049,0.98182,0.93133,0.97291,0.88021,0.50846,0.33767,0.97943,0.0001388,0.0001388,0.0001388
96,3149.55,0.229,0.154,0.83891,0.97615,0.94397,0.97397,0.88274,0.5127,0.34311,0.98275,0.000119,0.000119,0.000119
97,3181.16,0.22827,0.15138,0.8312,0.95686,0.95597,0.97374,0.87928,0.51024,0.33829,0.98702,9.92e-05,9.92e-05,9.92e-05
98,3212.88,0.22493,0.15251,0.82953,0.95239,0.96121,0.97369,0.87739,0.51266,0.34379,0.98902,7.94e-05,7.94e-05,7.94e-05
99,3244.53,0.22465,0.15131,0.83753,0.95687,0.95617,0.97469,0.88467,0.50713,0.34243,0.98481,5.96e-05,5.96e-05,5.96e-05
100,3276.34,0.21704,0.14717,0.82978,0.95704,0.96013,0.97446,0.88259,0.50429,0.3384,0.98353,3.98e-05,3.98e-05,3.98e-05
